Plan_ID,Gender,Age_Group,BMI_Category,Fitness_Goal,Activity_Level,Dietary_Preference,Medical_Conditions,Allergies_Intolerances,Exercise_Schedule,Meal_Plan,Nutritional_Facts,Est_Calories_Burned,Semantic_Description
PLAN_011,Female,36-50,Obese,Weight Loss,Intermediate,Halal,Hypertension,,Monday: Fast walking 45 mins. Tuesday: Resistance bands 30 mins. Wednesday: Yoga 30 mins. Thursday: Cycling 35 mins. Friday: Walking 40 mins. Saturday: Swimming 30 mins. Sunday: Rest.,Breakfast: Vegetable omelet. Lunch: Grilled chicken with salad. Dinner: Lentil soup and brown rice. Snacks: Orange slices.,"{Calories: 1650 kcal, Protein: 95g, Carbs: 160g, Fats: 50g}",2600,PLAN_011: A halal fat-loss plan for an obese female aged 36-50 with hypertension. Moderate cardio and lower-sodium meals encourage sustainable weight reduction and heart health.
PLAN_012,Male,26-35,Underweight,Muscle Gain,Intermediate,Keto,,Lactose Intolerance,Monday: Upper body lifting 50 mins. Tuesday: Rowing 30 mins. Wednesday: Lower body lifting 50 mins. Thursday: Rest. Friday: Full body strength training 45 mins. Saturday: Cycling 40 mins. Sunday: Stretching.,Breakfast: Scrambled eggs with avocado. Lunch: Grilled chicken thighs with salad. Dinner: Beef stir fry with vegetables. Snacks: Dairy-free protein shake.,"{Calories: 2900 kcal, Protein: 170g, Carbs: 60g, Fats: 190g}",3100,PLAN_012: A keto muscle-building plan for an underweight male with lactose intolerance. Strength training and calorie-rich low-carb meals promote lean mass development.
PLAN_013,Female,18-25,Normal,Endurance/Stamina,Advanced,Vegan,,,Monday: Long-distance running 60 mins. Tuesday: HIIT cardio 35 mins. Wednesday: Cycling 50 mins. Thursday: Yoga 30 mins. Friday: Tempo run 45 mins. Saturday: Hiking 90 mins. Sunday: Rest.,Breakfast: Chia pudding with fruit. Lunch: Brown rice with tofu and vegetables. Dinner: Lentil pasta. Snacks: Banana and roasted chickpeas.,"{Calories: 2400 kcal, Protein: 100g, Carbs: 320g, Fats: 55g}",4300,PLAN_013: A vegan endurance program for a highly active young female with normal BMI. Carbohydrate-rich plant meals and high-volume cardio improve stamina and recovery.
PLAN_014,Any,50+,Normal,Maintenance,Beginner,Any,Heart Disease,,Monday: Walking 30 mins. Tuesday: Gentle stretching 20 mins. Wednesday: Rest. Thursday: Water aerobics 25 mins. Friday: Walking 30 mins. Saturday: Chair yoga 20 mins. Sunday: Rest.,Breakfast: Oatmeal with fruit. Lunch: Grilled fish and vegetables. Dinner: Chicken soup with quinoa. Snacks: Apple slices.,"{Calories: 1800 kcal, Protein: 85g, Carbs: 190g, Fats: 55g}",1500,PLAN_014: A maintenance plan for a 50+ individual with heart disease and normal BMI. Low-impact activity and balanced meals help preserve cardiovascular health and mobility.
PLAN_015,Male,36-50,Overweight,Maintenance,Intermediate,Halal,Asthma,Gluten Intolerance,Monday: Brisk walk 40 mins. Tuesday: Light weights 35 mins. Wednesday: Yoga 30 mins. Thursday: Cycling 35 mins. Friday: Walking 45 mins. Saturday: Swimming 40 mins. Sunday: Rest.,Breakfast: Gluten-free oats with banana. Lunch: Grilled chicken with rice. Dinner: Beef kebabs with vegetables. Snacks: Rice cakes and hummus.,"{Calories: 2100 kcal, Protein: 120g, Carbs: 210g, Fats: 65g}",2500,PLAN_015: A halal maintenance plan for an overweight male with asthma and gluten intolerance. Moderate exercise and gluten-free meals support steady energy and respiratory comfort.
PLAN_016,Female,26-35,Underweight,Muscle Gain,Advanced,Any,,,Monday: Heavy lower body training 60 mins. Tuesday: HIIT 25 mins. Wednesday: Upper body strength training 60 mins. Thursday: Rest. Friday: Full body workout 60 mins. Saturday: Running 30 mins. Sunday: Stretching.,Breakfast: Protein pancakes with fruit. Lunch: Salmon with rice. Dinner: Turkey pasta. Snacks: Greek yogurt and nuts.,"{Calories: 3000 kcal, Protein: 180g, Carbs: 330g, Fats: 90g}",4200,PLAN_016: An advanced muscle gain plan for an underweight female aged 26-35. High-calorie balanced meals and progressive overload training support lean muscle growth.
PLAN_017,Male,50+,Obese,Weight Loss,Beginner,Keto,Heart Disease,,Monday: Slow walking 20 mins. Tuesday: Gentle stretching 20 mins. Wednesday: Rest. Thursday: Water walking 25 mins. Friday: Walking 25 mins. Saturday: Chair exercises 20 mins. Sunday: Rest.,Breakfast: Eggs with spinach. Lunch: Grilled fish salad. Dinner: Chicken with steamed broccoli. Snacks: Olives.,"{Calories: 1550 kcal, Protein: 100g, Carbs: 40g, Fats: 105g}",1300,PLAN_017: A heart-conscious keto weight loss plan for an obese male aged 50+. The exercise routine avoids strenuous activity while low-carb meals support gradual fat reduction.
PLAN_018,Female,36-50,Normal,Maintenance,Intermediate,Vegan,Asthma,Lactose Intolerance,Monday: Yoga 40 mins. Tuesday: Fast walking 35 mins. Wednesday: Rest. Thursday: Pilates 30 mins. Friday: Cycling 40 mins. Saturday: Hiking 60 mins. Sunday: Stretching.,Breakfast: Almond milk smoothie with oats. Lunch: Quinoa and bean salad. Dinner: Stir-fried tofu with vegetables. Snacks: Fruit bowl.,"{Calories: 1950 kcal, Protein: 90g, Carbs: 230g, Fats: 50g}",2400,PLAN_018: A vegan maintenance plan for a normal BMI female with asthma and lactose intolerance. Balanced plant-based meals and moderate cardio maintain fitness and respiratory well-being.
PLAN_019,Any,18-25,Overweight,Weight Loss,Intermediate,Any,,Nut Allergy,Monday: Jogging 35 mins. Tuesday: Resistance training 40 mins. Wednesday: Rest. Thursday: Cycling 45 mins. Friday: HIIT 20 mins. Saturday: Swimming 45 mins. Sunday: Yoga.,Breakfast: Egg whites with fruit. Lunch: Turkey sandwich. Dinner: Grilled chicken with vegetables. Snacks: Rice crackers.,"{Calories: 1800 kcal, Protein: 115g, Carbs: 170g, Fats: 55g}",3200,PLAN_019: A weight loss plan for an overweight young adult with nut allergy restrictions. Mixed cardio and resistance sessions improve fat loss while preserving muscle.
PLAN_020,Male,26-35,Normal,Endurance/Stamina,Advanced,Halal,,,Monday: Long-distance run 70 mins. Tuesday: Strength circuits 45 mins. Wednesday: Swimming 50 mins. Thursday: Sprint intervals 30 mins. Friday: Cycling 60 mins. Saturday: Hiking 120 mins. Sunday: Mobility work.,Breakfast: Eggs with flatbread. Lunch: Chicken biryani with salad. Dinner: Grilled lamb with rice. Snacks: Dates and yogurt.,"{Calories: 2900 kcal, Protein: 150g, Carbs: 340g, Fats: 80g}",5000,PLAN_020: An advanced halal endurance plan for a normal BMI male. High-energy meals and endurance-focused training maximize stamina and athletic performance.
PLAN_021,Female,50+,Overweight,Weight Loss,Beginner,Any,Hypertension,Lactose Intolerance,Monday: Walking 30 mins. Tuesday: Yoga 20 mins. Wednesday: Rest. Thursday: Water aerobics 25 mins. Friday: Walking 35 mins. Saturday: Stretching 20 mins. Sunday: Rest.,Breakfast: Dairy-free oatmeal. Lunch: Grilled chicken salad. Dinner: Vegetable soup with quinoa. Snacks: Fresh berries.,"{Calories: 1550 kcal, Protein: 80g, Carbs: 150g, Fats: 45g}",1600,PLAN_021: A beginner-friendly weight management plan for an overweight woman over 50 with hypertension and lactose intolerance. Gentle exercise and controlled calories support cardiovascular wellness.
PLAN_022,Male,36-50,Normal,Maintenance,Intermediate,Keto,,Gluten Intolerance,Monday: Strength training 45 mins. Tuesday: Cycling 40 mins. Wednesday: Rest. Thursday: Jogging 35 mins. Friday: Core workout 30 mins. Saturday: Swimming 45 mins. Sunday: Stretching.,Breakfast: Omelet with avocado. Lunch: Steak salad. Dinner: Grilled salmon with vegetables. Snacks: Cheese cubes.,"{Calories: 2300 kcal, Protein: 140g, Carbs: 55g, Fats: 160g}",2700,PLAN_022: A keto maintenance plan for a 36-50 year old male with gluten intolerance. Low-carb meals and balanced workouts maintain healthy body composition.
PLAN_023,Female,18-25,Underweight,Muscle Gain,Beginner,Halal,,,Monday: Resistance bands 30 mins. Tuesday: Walking 25 mins. Wednesday: Rest. Thursday: Bodyweight exercises 35 mins. Friday: Light dumbbell workout 30 mins. Saturday: Cycling 20 mins. Sunday: Stretching.,Breakfast: Milk with oats and dates. Lunch: Chicken rice bowl. Dinner: Beef curry with potatoes. Snacks: Banana smoothie.,"{Calories: 2500 kcal, Protein: 130g, Carbs: 300g, Fats: 70g}",1900,PLAN_023: A beginner halal muscle gain plan for an underweight young female. The routine uses progressive strength training and calorie-rich balanced meals to encourage healthy weight gain.
PLAN_024,Any,26-35,Obese,Weight Loss,Intermediate,Vegan,Heart Disease,Gluten Intolerance,Monday: Brisk walking 35 mins. Tuesday: Yoga 30 mins. Wednesday: Rest. Thursday: Water aerobics 30 mins. Friday: Cycling 30 mins. Saturday: Stretching 20 mins. Sunday: Rest.,Breakfast: Gluten-free oats with berries. Lunch: Quinoa vegetable bowl. Dinner: Lentil soup. Snacks: Fruit salad.,"{Calories: 1500 kcal, Protein: 75g, Carbs: 165g, Fats: 40g}",2100,PLAN_024: A vegan heart-friendly fat-loss plan for an obese adult aged 26-35 with gluten intolerance. Low-impact exercise and nutrient-dense meals support safe weight reduction.
PLAN_025,Male,18-25,Normal,Maintenance,Advanced,Any,Asthma,,Monday: Basketball 90 mins. Tuesday: Strength training 50 mins. Wednesday: Running 40 mins. Thursday: Rest. Friday: HIIT 25 mins. Saturday: Swimming 60 mins. Sunday: Mobility work.,Breakfast: Eggs and toast. Lunch: Chicken wrap with salad. Dinner: Beef stir fry with rice. Snacks: Protein bar and fruit.,"{Calories: 2600 kcal, Protein: 145g, Carbs: 290g, Fats: 75g}",4300,PLAN_025: An advanced maintenance plan for a young male athlete with asthma. Performance-focused meals and mixed training improve conditioning while considering breathing management.
PLAN_026,Female,36-50,Overweight,Weight Loss,Intermediate,Keto,Hypertension,,Monday: Walking 40 mins. Tuesday: Resistance bands 30 mins. Wednesday: Yoga 25 mins. Thursday: Cycling 35 mins. Friday: Walking 45 mins. Saturday: Swimming 30 mins. Sunday: Rest.,Breakfast: Eggs with spinach. Lunch: Grilled chicken salad. Dinner: Salmon with broccoli. Snacks: Olives and cucumber.,"{Calories: 1650 kcal, Protein: 105g, Carbs: 45g, Fats: 110g}",2500,PLAN_026: A keto weight loss plan for an overweight female with hypertension. Controlled carbohydrates and steady low-impact exercise encourage fat loss and blood pressure management.
PLAN_027,Male,50+,Normal,Maintenance,Beginner,Halal,Heart Disease,Lactose Intolerance,Monday: Walking 25 mins. Tuesday: Chair yoga 20 mins. Wednesday: Rest. Thursday: Water aerobics 25 mins. Friday: Walking 30 mins. Saturday: Stretching 15 mins. Sunday: Rest.,Breakfast: Dairy-free oatmeal. Lunch: Grilled chicken with vegetables. Dinner: Fish soup with rice. Snacks: Apple slices.,"{Calories: 1850 kcal, Protein: 90g, Carbs: 185g, Fats: 55g}",1400,PLAN_027: A heart-safe halal maintenance plan for a male over 50 with lactose intolerance. Gentle exercise and balanced meals help sustain cardiovascular health and daily mobility.
PLAN_028,Female,26-35,Normal,Endurance/Stamina,Advanced,Any,,,Monday: Marathon training run 80 mins. Tuesday: HIIT circuits 30 mins. Wednesday: Cycling 60 mins. Thursday: Yoga 30 mins. Friday: Tempo run 50 mins. Saturday: Hiking 100 mins. Sunday: Rest.,Breakfast: Overnight oats with berries. Lunch: Chicken pasta. Dinner: Salmon with quinoa. Snacks: Yogurt and banana.,"{Calories: 2700 kcal, Protein: 130g, Carbs: 360g, Fats: 70g}",5200,PLAN_028: An advanced endurance program for a 26-35 year old female with normal BMI. High-carbohydrate meals and intensive cardio training maximize stamina and recovery.
PLAN_029,Any,36-50,Underweight,Muscle Gain,Intermediate,Vegan,,Nut Allergy,Monday: Strength training 45 mins. Tuesday: Jogging 20 mins. Wednesday: Lower body workout 45 mins. Thursday: Rest. Friday: Upper body workout 40 mins. Saturday: Cycling 30 mins. Sunday: Stretching.,Breakfast: Soy yogurt with oats. Lunch: Lentil rice bowl. Dinner: Tofu curry with quinoa. Snacks: Sunflower seeds and fruit.,"{Calories: 2700 kcal, Protein: 115g, Carbs: 320g, Fats: 70g}",2900,PLAN_029: A vegan muscle gain plan for an underweight adult with nut allergy considerations. Plant-based protein meals and structured resistance training support healthy weight gain.
PLAN_030,Male,26-35,Obese,Weight Loss,Beginner,Any,Hypertension,,Monday: Walking 30 mins. Tuesday: Light cycling 25 mins. Wednesday: Rest. Thursday: Resistance bands 20 mins. Friday: Walking 35 mins. Saturday: Stretching 20 mins. Sunday: Rest.,Breakfast: Oatmeal with fruit. Lunch: Turkey salad. Dinner: Grilled chicken with vegetables. Snacks: Cucumber slices.,"{Calories: 1600 kcal, Protein: 95g, Carbs: 155g, Fats: 45g}",1700,PLAN_030: A beginner weight loss plan for an obese male with hypertension. Moderate low-impact activity and reduced-calorie meals support gradual fat reduction and improved cardiovascular health.
PLAN_031,Female,18-25,Normal,Maintenance,Intermediate,Vegan,,Gluten Intolerance,Monday: Yoga 35 mins. Tuesday: Cycling 40 mins. Wednesday: Rest. Thursday: Bodyweight exercises 35 mins. Friday: Walking 45 mins. Saturday: Hiking 60 mins. Sunday: Stretching.,Breakfast: Gluten-free oats with almond milk. Lunch: Chickpea quinoa salad. Dinner: Tofu stir fry with rice. Snacks: Fruit smoothie.,"{Calories: 2050 kcal, Protein: 85g, Carbs: 250g, Fats: 55g}",2500,PLAN_031: A vegan maintenance plan for a young female with gluten intolerance. Balanced gluten-free meals and moderate activity support long-term health and energy.
PLAN_032,Male,36-50,Overweight,Endurance/Stamina,Advanced,Halal,Asthma,,Monday: Running 60 mins. Tuesday: Circuit training 45 mins. Wednesday: Swimming 50 mins. Thursday: Cycling 60 mins. Friday: Sprint drills 25 mins. Saturday: Hiking 90 mins. Sunday: Mobility work.,Breakfast: Eggs with whole grain toast. Lunch: Chicken and rice bowl. Dinner: Lamb kebabs with vegetables. Snacks: Dates and yogurt.,"{Calories: 2800 kcal, Protein: 150g, Carbs: 330g, Fats: 80g}",4800,PLAN_032: An advanced endurance program for an overweight male with asthma following halal dietary practices. Structured cardio and balanced meals improve stamina and body composition.
PLAN_033,Female,50+,Obese,Weight Loss,Beginner,Vegan,Heart Disease,Lactose Intolerance,Monday: Slow walking 20 mins. Tuesday: Gentle yoga 20 mins. Wednesday: Rest. Thursday: Water aerobics 20 mins. Friday: Walking 25 mins. Saturday: Stretching 15 mins. Sunday: Rest.,Breakfast: Oatmeal with berries. Lunch: Lentil soup. Dinner: Steamed vegetables with quinoa. Snacks: Pear slices.,"{Calories: 1400 kcal, Protein: 65g, Carbs: 160g, Fats: 38g}",1200,PLAN_033: A low-impact vegan weight loss plan for an obese female over 50 with heart disease and lactose intolerance. Safe exercise and plant-based meals support gradual fat loss and heart health.
PLAN_034,Any,26-35,Normal,Muscle Gain,Advanced,Any,,,Monday: Heavy lifting 70 mins. Tuesday: Sprint intervals 30 mins. Wednesday: Push-pull workout 65 mins. Thursday: Rest. Friday: Lower body power training 70 mins. Saturday: Basketball 90 mins. Sunday: Recovery yoga.,Breakfast: Protein oats with fruit. Lunch: Chicken pasta with vegetables. Dinner: Steak with potatoes. Snacks: Protein shake.,"{Calories: 3300 kcal, Protein: 200g, Carbs: 360g, Fats: 95g}",4700,PLAN_034: An advanced muscle gain plan for a normal BMI adult aged 26-35. High-protein meals and intensive resistance training maximize hypertrophy and athletic performance.
PLAN_035,Male,18-25,Overweight,Weight Loss,Intermediate,Keto,,Nut Allergy,Monday: Jogging 35 mins. Tuesday: Strength circuits 40 mins. Wednesday: Rest. Thursday: Cycling 45 mins. Friday: HIIT 20 mins. Saturday: Swimming 45 mins. Sunday: Stretching.,Breakfast: Eggs with spinach. Lunch: Grilled chicken salad. Dinner: Beef with roasted vegetables. Snacks: Cheese cubes.,"{Calories: 1850 kcal, Protein: 125g, Carbs: 50g, Fats: 120g}",3400,PLAN_035: A keto fat-loss program for an overweight young male with nut allergy restrictions. High-protein low-carb meals and mixed cardio sessions support weight reduction.
PLAN_036,Female,36-50,Normal,Maintenance,Beginner,Halal,,,Monday: Walking 30 mins. Tuesday: Yoga 25 mins. Wednesday: Rest. Thursday: Pilates 30 mins. Friday: Walking 35 mins. Saturday: Light cycling 30 mins. Sunday: Stretching.,Breakfast: Eggs with fruit. Lunch: Chicken salad with rice. Dinner: Fish curry with vegetables. Snacks: Dates.,"{Calories: 1950 kcal, Protein: 95g, Carbs: 210g, Fats: 55g}",1800,PLAN_036: A halal maintenance plan for a 36-50 year old female with normal BMI. Moderate exercise and balanced nutrition help sustain healthy body composition.
PLAN_037,Male,50+,Underweight,Muscle Gain,Beginner,Any,Asthma,Lactose Intolerance,Monday: Resistance bands 25 mins. Tuesday: Walking 20 mins. Wednesday: Rest. Thursday: Light dumbbell workout 30 mins. Friday: Stretching 20 mins. Saturday: Cycling 20 mins. Sunday: Rest.,Breakfast: Dairy-free smoothie with oats. Lunch: Grilled fish with potatoes. Dinner: Chicken soup with rice. Snacks: Banana.,"{Calories: 2400 kcal, Protein: 120g, Carbs: 280g, Fats: 70g}",1500,PLAN_037: A beginner muscle gain plan for an underweight male over 50 with asthma and lactose intolerance. Gentle strength work and calorie-rich meals support healthy weight gain.
PLAN_038,Female,26-35,Overweight,Weight Loss,Intermediate,Any,Hypertension,Nut Allergy,Monday: Brisk walking 40 mins. Tuesday: Resistance training 30 mins. Wednesday: Rest. Thursday: Cycling 35 mins. Friday: Yoga 30 mins. Saturday: Swimming 40 mins. Sunday: Stretching.,Breakfast: Greek yogurt with berries. Lunch: Turkey salad. Dinner: Grilled fish with vegetables. Snacks: Rice cakes.,"{Calories: 1700 kcal, Protein: 105g, Carbs: 165g, Fats: 50g}",2700,PLAN_038: A balanced weight loss plan for an overweight female with hypertension and nut allergy concerns. Controlled calories and moderate exercise promote safe fat reduction.
PLAN_039,Any,18-25,Normal,Endurance/Stamina,Advanced,Vegan,,Gluten Intolerance,Monday: Running 70 mins. Tuesday: HIIT cardio 30 mins. Wednesday: Cycling 60 mins. Thursday: Yoga 30 mins. Friday: Tempo run 50 mins. Saturday: Hiking 90 mins. Sunday: Rest.,Breakfast: Gluten-free oats with banana. Lunch: Quinoa tofu bowl. Dinner: Lentil curry with rice. Snacks: Fruit smoothie.,"{Calories: 2550 kcal, Protein: 95g, Carbs: 340g, Fats: 55g}",5000,PLAN_039: A gluten-free vegan endurance plan for a highly active young adult. Carbohydrate-rich plant meals and intense cardio sessions support stamina and recovery.
PLAN_040,Male,36-50,Obese,Weight Loss,Beginner,Halal,Heart Disease,,Monday: Walking 25 mins. Tuesday: Chair yoga 20 mins. Wednesday: Rest. Thursday: Water aerobics 25 mins. Friday: Walking 30 mins. Saturday: Stretching 15 mins. Sunday: Rest.,Breakfast: Oatmeal with dates. Lunch: Grilled chicken with vegetables. Dinner: Fish soup with brown rice. Snacks: Apple slices.,"{Calories: 1500 kcal, Protein: 85g, Carbs: 145g, Fats: 45g}",1400,PLAN_040: A heart-safe halal fat-loss plan for an obese male aged 36-50. Low-impact exercise and balanced meals support gradual weight loss and cardiovascular health.
PLAN_041,Female,50+,Normal,Maintenance,Intermediate,Keto,,,Monday: Pilates 35 mins. Tuesday: Walking 40 mins. Wednesday: Rest. Thursday: Light strength training 30 mins. Friday: Cycling 35 mins. Saturday: Yoga 30 mins. Sunday: Stretching.,Breakfast: Eggs with avocado. Lunch: Salmon salad. Dinner: Chicken with roasted vegetables. Snacks: Cheese slices.,"{Calories: 2100 kcal, Protein: 115g, Carbs: 55g, Fats: 145g}",2300,PLAN_041: A keto maintenance plan for a woman over 50 with normal BMI. Low-carb meals and moderate exercise help maintain strength and metabolic health.
PLAN_042,Male,26-35,Underweight,Muscle Gain,Advanced,Vegan,,,Monday: Heavy lifting 65 mins. Tuesday: Plyometrics 25 mins. Wednesday: Upper body strength 60 mins. Thursday: Rest. Friday: Lower body training 65 mins. Saturday: Running 30 mins. Sunday: Stretching.,Breakfast: Tofu scramble with oats. Lunch: Lentil pasta with vegetables. Dinner: Tempeh rice bowl. Snacks: Protein smoothie.,"{Calories: 3200 kcal, Protein: 160g, Carbs: 380g, Fats: 80g}",4400,PLAN_042: An advanced vegan muscle gain plan for an underweight male aged 26-35. High-protein plant meals and progressive resistance training support lean mass growth.
PLAN_043,Female,18-25,Overweight,Weight Loss,Beginner,Halal,Asthma,,Monday: Walking 30 mins. Tuesday: Yoga 25 mins. Wednesday: Rest. Thursday: Cycling 25 mins. Friday: Resistance bands 20 mins. Saturday: Walking 35 mins. Sunday: Stretching.,Breakfast: Eggs with cucumber. Lunch: Chicken salad. Dinner: Lentil soup with rice. Snacks: Fruit bowl.,"{Calories: 1650 kcal, Protein: 90g, Carbs: 160g, Fats: 48g}",1800,PLAN_043: A beginner halal weight loss plan for an overweight young female with asthma. Moderate activity and balanced meals encourage fat reduction without excessive respiratory strain.
